USUARIO;DATA;INICIO_RECARGA;FIM_RECARGA;ENERGIA_KWH;DURACAO;VALOR_TOTAL_DA_RECARGA;VALOR_CAPTURADO;VALOR_A_SER_CAPTURADO;ID;ID_DO_CONECTOR;TIPO_DO_CONECTOR;POTENCIA_DO_CONECTOR_KW;TIPO_DE_DESBLOQUEIO;ID_DA_ESTACAO;ELETROPOSTO;CIDADE;UF;CPO_ID;eMSP_ID
User 1000;18/06/2024;02:43;03:27;42.32;;R$ 0.00;R$ 0.00;R$ 0.00;7f424593-623e-436c-ac57-615c35f8a749;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;17/06/2024;21:01;21:49;37.85;;R$ 0.00;R$ 0.00;R$ 0.00;092cb682-b436-4653-b839-9667657c8f8c;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;17/06/2024;18:47;19:26;28.59;;R$ 0.00;R$ 0.00;R$ 0.00;5f243349-b1cf-4c85-b699-8088b9283593;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;17/06/2024;15:51;16:44;38.2;;R$ 0.00;R$ 0.00;R$ 0.00;b9f4b8c7-614f-466a-a2cb-3d52be889b8a;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;17/06/2024;15:02;15:49;34.23;;R$ 0.00;R$ 0.00;R$ 0.00;71183527-1948-4b8b-b657-222417b65873;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;17/06/2024;12:47;13:25;20.67;;R$ 0.00;R$ 0.00;R$ 0.00;ff07fa12-05d1-4b27-89d1-209c0f1f8ce0;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;17/06/2024;04:48;05:42;31.48;;R$ 0.00;R$ 0.00;R$ 0.00;696d3774-c8ef-4750-86d4-b83929080a46;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;17/06/2024;03:46;04:30;31.82;;R$ 0.00;R$ 0.00;R$ 0.00;0609a60b-e630-48dd-9711-04eddfe00498;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;17/06/2024;00:52;01:30;33.6;;R$ 0.00;R$ 0.00;R$ 0.00;e3305870-7629-4832-aa95-f0e88266a974;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;16/06/2024;22:54;00:24;75.98;;R$ 0.00;R$ 0.00;R$ 0.00;50a7ee86-c7e4-45da-aa7f-c602417f24fe;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;16/06/2024;21:53;22:50;38.79;;R$ 0.00;R$ 0.00;R$ 0.00;26cdc8da-6775-45e1-8d8d-e909def61459;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;16/06/2024;21:14;21:49;29.91;;R$ 0.00;R$ 0.00;R$ 0.00;05ce0e0d-3f4c-4adb-ac4c-6e9be6faf2a2;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;16/06/2024;20:49;21:13;21.99;;R$ 0.00;R$ 0.00;R$ 0.00;d98739aa-158d-455d-99e2-708aed410f90;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;16/06/2024;20:47;20:49;0;;R$ 0.00;R$ 0.00;R$ 0.00;1cd820f9-259a-4a9b-8f7a-14ecb1dbdff6;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;16/06/2024;19:40;20:45;30.21;;R$ 0.00;R$ 0.00;R$ 0.00;6f9ac5bc-f98d-4e3d-bec2-36c77910186e;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;16/06/2024;18:47;19:38;39.65;;R$ 0.00;R$ 0.00;R$ 0.00;9d9d1934-cea9-4e33-ad4f-dc84ab086ed8;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;16/06/2024;17:27;17:55;24.22;;R$ 0.00;R$ 0.00;R$ 0.00;ddfd9224-b252-442b-bcda-5fa2863a25d6;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;16/06/2024;16:50;17:26;22.18;;R$ 0.00;R$ 0.00;R$ 0.00;b891a3c0-6be2-49fc-86b0-74ce338cdf87;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;15/06/2024;22:59;00:05;38.26;;R$ 0.00;R$ 0.00;R$ 0.00;d232c6f8-5eaa-4d29-9947-b07db7f3c4d2;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;15/06/2024;20:24;20:47;11.04;;R$ 0.00;R$ 0.00;R$ 0.00;dff90d79-4d9d-40a4-a0de-aa8895bfed51;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;15/06/2024;19:41;20:24;39.65;;R$ 0.00;R$ 0.00;R$ 0.00;e84e3e40-c654-49d5-98b4-3b116cf48d64;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;15/06/2024;15:06;15:47;10.29;;R$ 0.00;R$ 0.00;R$ 0.00;3b66f2a3-e069-4627-8ce3-8db10b3f0876;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;15/06/2024;13:56;15:02;44.11;;R$ 0.00;R$ 0.00;R$ 0.00;569023ce-0575-413c-ad83-e758f7121085;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;15/06/2024;11:58;12:48;35.89;;R$ 0.00;R$ 0.00;R$ 0.00;4a059749-b522-4036-b9e6-da3a5ff2eaf2;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;15/06/2024;09:41;10:33;39.68;;R$ 0.00;R$ 0.00;R$ 0.00;656b98e6-cfca-4dea-8367-258d2e1fe38f;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;15/06/2024;02:19;02:52;28.09;;R$ 0.00;R$ 0.00;R$ 0.00;85fd0286-2c43-4cce-bb1c-764ef3c0367c;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;15/06/2024;00:14;00:31;14.64;;R$ 0.00;R$ 0.00;R$ 0.00;8ff7af42-a05e-4023-b2d5-39e71449535b;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;14/06/2024;22:38;23:30;48.45;;R$ 0.00;R$ 0.00;R$ 0.00;72dc8fe8-bbd9-49a8-9c3b-25a21f461011;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;14/06/2024;22:18;22:36;15.02;;R$ 0.00;R$ 0.00;R$ 0.00;9e50a562-87d2-4320-b75d-2a0de6a8e505;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;14/06/2024;21:16;21:33;11.94;;R$ 0.00;R$ 0.00;R$ 0.00;00ba6adb-92fb-4f77-8a75-62334ff578fe;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;14/06/2024;18:50;19:45;38;;R$ 0.00;R$ 0.00;R$ 0.00;0257b181-bba7-45b6-a504-9c6c55e18ae3;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
User 1000;14/06/2024;18:10;18:48;28.28;;R$ 0.00;R$ 0.00;R$ 0.00;71ebb089-133c-4e64-909e-8611c352090a;2;Conector 2 - TYPE2CCS;60;Cartão;7f30abb1-4303-45b1-bcc4-120b93e14b8f;Estação Barra do Ribeiro;Barra do Ribeiro;RS;equatorial;equatorial
