USUARIO;DATA;INICIO_RECARGA;FIM_RECARGA;ENERGIA_KWH;DURACAO;VALOR_TOTAL_DA_RECARGA;VALOR_CAPTURADO;VALOR_A_SER_CAPTURADO;ID;ID_DO_CONECTOR;TIPO_DO_CONECTOR;POTENCIA_DO_CONECTOR_KW;TIPO_DE_DESBLOQUEIO;ID_DA_ESTACAO;ELETROPOSTO;CIDADE;UF;CPO_ID;eMSP_ID
User 1000;18/06/2024;01:49;01:49;0.00;;R$ 0.00;R$ 00.00;R$ 0.00;8fe41461-6240-43f2-8510-b96f08aa7958;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;18/06/2024;00:56;01:48;33.00;;R$ 00.00;R$ 00.00;R$ 00.00;d0276ee5-29b9-471e-9106-ff2f7253e542;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;18/06/2024;00:16;00:51;4.08;;R$ 00.00;R$ 00.00;R$ 00.00;529a747a-3637-44a8-b8d7-5f892dde5a51;1;Conector 1 - TYPE2;44.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;18/06/2024;00:10;00:55;26.05;;R$ 00.00;R$ 00.00;R$ 00.00;a9d86fff-2d9f-41c4-9353-5cc2446828a1;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;23:40;23:51;1.23;;R$ 00.00;R$ 00.00;R$ 00.00;195e49b5-9969-448a-aafc-d5f7453a4fc2;1;Conector 1 - TYPE2;44.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;23:10;00:10;40.23;;R$ 00.00;R$ 00.00;R$ 00.00;660c73cf-96c8-4062-bb21-b5de5d82bd5b;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;22:59;23:09;3.61;;R$ 00.00;R$ 00.00;R$ 00.00;b8699d89-5bc0-4ea2-8cd0-1e5ab93d4c11;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;22:52;23:10;1.97;;R$ 00.00;R$ 00.00;R$ 00.00;c152d1b7-faa5-4754-b1e4-1f5fc4436df9;1;Conector 1 - TYPE2;44.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;22:38;22:56;4.80;;R$ 00.00;R$ 00.00;R$ 00.00;cf3940be-233d-42e8-8bf9-4cc961adda4b;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;22:03;22:38;6.01;;R$ 00.00;R$ 00.00;R$ 00.00;67ed5f38-3797-4ca1-9d3f-12f9765a829f;1;Conector 1 - TYPE2;44.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;21:41;22:37;29.52;;R$ 00.00;R$ 00.00;R$ 00.00;2da68734-1e71-495e-a170-8d29362fab48;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;21:40;21:40;0.00;;R$ 0.00;R$ 00.00;R$ 0.00;f5c760de-6df2-4994-b354-f242bab3dbe4;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;21:26;21:41;1.72;;R$ 00.00;R$ 00.00;R$ 00.00;7f3df13e-dbb8-4218-8f48-1ac02886ead0;1;Conector 1 - TYPE2;44.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;21:18;21:40;5.34;;R$ 00.00;R$ 00.00;R$ 00.00;1db4c184-f518-4cd9-b175-1943292e8fd0;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;20:01;21:16;13.03;;R$ 00.00;R$ 00.00;R$ 00.00;4f15d32b-9508-42cc-8e53-048b684a4cd0;1;Conector 1 - TYPE2;44.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;20:00;21:16;62.99;;R$ 00.00;R$ 00.00;R$ 00.00;1a991254-ce30-438a-bd4c-aa7c7b906601;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;18:31;19:09;0.00;;R$ 0.00;R$ 00.00;R$ 0.00;5842e21a-6e6f-4a0a-8399-7f49b6ef6765;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;18:09;18:30;3.86;;R$ 00.00;R$ 00.00;R$ 00.00;ac52d339-3eb5-4c45-b290-f99d0006be28;1;Conector 1 - TYPE2;44.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;17:43;18:30;31.87;;R$ 00.00;R$ 00.00;R$ 00.00;b7c3ec8b-5959-4017-afb1-ba6ca53f5a3b;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;16:32;17:13;27.67;;R$ 00.00;R$ 00.00;R$ 00.00;c437f77d-5b12-4637-bef0-9e64b6c8c3c4;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;16:11;16:32;3.40;;R$ 00.00;R$ 00.00;R$ 00.00;3b7cd913-7d83-44f0-95a7-d264d67be1ed;1;Conector 1 - TYPE2;44.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;15:51;16:31;22.58;;R$ 00.00;R$ 00.00;R$ 00.00;ddd8e3a3-21a9-481d-ab21-c8404f244873;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;14:58;15:51;6.17;;R$ 00.00;R$ 00.00;R$ 00.00;06d8bf9d-5199-4b89-8148-5a989d4dc996;1;Conector 1 - TYPE2;44.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;14:49;15:50;41.50;;R$ 00.00;R$ 00.00;R$ 00.00;a68fef4a-9634-4804-94b3-87f2872f1b87;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;13:37;14:07;5.21;;R$ 00.00;R$ 00.00;R$ 00.00;e841d692-d2a2-423a-9bc2-873575b190bd;1;Conector 1 - TYPE2;44.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;13:29;14:19;31.37;;R$ 00.00;R$ 00.00;R$ 00.00;865d8c93-efc5-4d4b-b92d-19a9f7297252;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;13:29;13:29;0.00;;R$ 0.00;R$ 00.00;R$ 0.00;e35f5583-eae0-4270-8111-e16814f45ba6;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;13:10;13:27;2.01;;R$ 00.00;R$ 00.00;R$ 00.00;aeb038da-8313-414c-91f6-e99a41ff9bb1;1;Conector 1 - TYPE2;44.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;12:28;13:27;41.78;;R$ 00.00;R$ 00.00;R$ 00.00;a6c0a7c1-c7f6-47cf-86a7-09b17ec62d9e;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;11:24;12:27;41.16;;R$ 00.00;R$ 00.00;R$ 00.00;99148a12-d14c-4338-a186-2db3336d6404;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;11:00;11:22;2.63;;R$ 00.00;R$ 00.00;R$ 00.00;8336f358-6d99-4872-ba7a-3ed4a06de576;1;Conector 1 - TYPE2;44.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;10:45;11:24;21.50;;R$ 00.00;R$ 00.00;R$ 00.00;3ab946c6-3951-4d9a-b86e-cc3bc0c43e04;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;10:30;10:38;6.60;;R$ 00.00;R$ 00.00;R$ 00.00;a661a47e-6038-4b8e-aa7f-9404cfe34ca7;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;06:26;06:47;11.62;;R$ 00.00;R$ 00.00;R$ 00.00;9313547b-b68d-442d-b9ed-6e96de297452;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;04:29;05:25;42.68;;R$ 00.00;R$ 00.00;R$ 00.00;94f48033-c437-4521-a478-fda53a399e51;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;17/06/2024;00:08;00:57;29.72;;R$ 00.00;R$ 00.00;R$ 00.00;2d8d3ccd-05a2-4ce9-9afe-8db3ca5e567c;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;16/06/2024;23:40;00:07;17.44;;R$ 00.00;R$ 00.00;R$ 00.00;fbfd4c33-f799-4126-9284-f5a9c37fb176;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;16/06/2024;23:18;23:40;2.43;;R$ 00.00;R$ 00.00;R$ 00.00;5530039f-af6f-4bd2-97ea-91975349c78b;1;Conector 1 - TYPE2;44.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;16/06/2024;22:50;23:40;30.31;;R$ 00.00;R$ 00.00;R$ 00.00;89683077-261c-4377-946b-dbc6c7e13788;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;16/06/2024;22:49;22:49;0.00;;R$ 0.00;R$ 00.00;R$ 0.00;0d77d015-29ad-428d-8b26-7e444e003311;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
User 1000;16/06/2024;22:04;22:49;34.51;;R$ 00.00;R$ 00.00;R$ 00.00;d0aaa648-4cb4-4852-9686-efd21bc342f7;2;Conector 2 - TYPE2CCS;60.00;Cartão;025826ed-6095-4ed8-8da2-a4afc7ef3177;Estação Eldorado do Sul;Eldorado do Sul;RS;equatorial;equatorial
